municipality,year,2017,e
Nordfyns,2013,73.9,70.6
Nyborg,2013,70.3,67.8
Odense,2013,67.2,65.4
Svendborg,2013,69.1,67.6
Ærø,2013,68.1,64.7
Billund,2013,77.0,75.6
Esbjerg,2013,73.0,70.4
Fanø,2013,74.2,72.5
Fredericia,2013,72.3,69.4
Haderslev,2013,72.7,70.0
Kolding,2013,75.7,73.1
Sønderborg,2013,71.8,68.6
Tønder,2013,72.2,70.1
Varde,2013,77.4,75.4
Vejen,2013,77.0,74.7
Vejle,2013,76.2,73.8
Aabenraa,2013,72.9,69.4
Favrskov,2013,80.3,77.4
Hedensted,2013,79.3,77.3
Horsens,2013,74.0,71.2
Norddjurs,2013,71.1,69.2
Odder,2013,76.2,74.4
Randers,2013,72.9,70.3
Samsø,2013,72.5,69.8
Silkeborg,2013,76.7,74.2
Skanderborg,2013,79.9,77.8
Syddjurs,2013,74.9,71.7
Aarhus,2013,69.9,67.3
Herning,2013,75.9,73.2
Holstebro,2013,76.9,74.6
Ikast-Brande,2013,75.3,73.1
Lemvig,2013,75.7,73.6
Ringkøbing-Skjern,2013,77.1,74.3
Skive,2013,74.5,72.8
Struer,2013,72.8,70.8
Viborg,2013,75.4,73.5
Brønderslev,2013,73.7,72.2
Frederikshavn,2013,71.6,70.2
Hjørring,2013,72.7,71.2
Jammerbugt,2013,73.6,71.5
Læsø,2013,72.0,68.2
Mariagerfjord,2013,73.9,71.5
Morsø,2013,73.0,69.7
Rebild,2013,79.4,77.3
Thisted,2013,74.5,71.3
Vesthimmerlands,2013,73.9,71.2
Aalborg,2013,69.9,67.9
Copenhagen,2014,72.2,70.0
Frederiksberg,2014,75.6,73.5
Dragør,2014,80.4,78.9
Tårnby,2014,77.6,75.7
Albertslund,2014,70.2,67.4
Ballerup,2014,74.5,71.8
Brøndby,2014,69.4,67.3
Gentofte,2014,76.1,74.7
Gladsaxe,2014,75.3,73.4
Glostrup,2014,76.0,74.4
Herlev,2014,75.4,73.5
Hvidovre,2014,74.8,73.2
Høje-Taastrup,2014,73.5,71.6
Ishøj,2014,70.3,66.9
Lyngby-Taarbæk,2014,75.7,75.0
Rødovre,2014,75.1,73.5
Vallensbæk,2014,79.7,78.2
Allerød,2014,82.2,80.7
Egedal,2014,82.2,80.9
Fredensborg,2014,75.5,74.3
Frederikssund,2014,77.9,76.0
Furesø,2014,78.7,76.7
Gribskov,2014,76.7,75.1
Halsnæs,2014,74.8,72.2
Helsingør,2014,74.6,72.6
Hillerød,2014,78.2,77.2
Hørsholm,2014,77.9,76.5
Rudersdal,2014,77.4,76.7
Bornholm,2014,70.1,67.0
Christiansø,2014,80.9,70.0
Greve,2014,78.4,76.5
Køge,2014,76.5,74.1
Lejre,2014,79.1,77.3
Roskilde,2014,76.8,74.0
Solrød,2014,81.5,78.3
Faxe,2014,75.1,73.4
Guldborgsund,2014,68.6,66.6
Holbæk,2014,73.4,72.4
Kalundborg,2014,70.7,68.7
Lolland,2014,63.1,61.6
Næstved,2014,72.8,71.3
Odsherred,2014,69.5,67.3
Ringsted,2014,75.8,73.9
Slagelse,2014,71.1,69.2
Sorø,2014,74.6,72.9
Stevns,2014,76.0,74.1
Vordingborg,2014,69.2,67.0
Assens,2014,72.5,71.4
Faaborg-Midtfyn,2014,72.7,70.8
Kerteminde,2014,72.9,70.3
Langeland,2014,66.2,64.8
Middelfart,2014,76.0,74.3
Nordfyns,2014,73.9,71.6
Nyborg,2014,70.3,67.9
Odense,2014,67.2,65.6
Svendborg,2014,69.1,67.9
Ærø,2014,68.1,65.1
Billund,2014,77.0,75.4
Esbjerg,2014,73.0,71.1
Fanø,2014,74.2,73.4
Fredericia,2014,72.3,70.1
Haderslev,2014,72.7,70.7
Kolding,2014,75.7,73.2
Sønderborg,2014,71.8,69.3
Tønder,2014,72.2,70.8
Varde,2014,77.4,75.6
Vejen,2014,77.0,74.9
Vejle,2014,76.2,74.1
Aabenraa,2014,72.9,70.1
Favrskov,2014,80.3,78.2
Hedensted,2014,79.3,77.7
Horsens,2014,74.0,71.9
Norddjurs,2014,71.1,69.4
Odder,2014,76.2,74.7
Randers,2014,72.9,70.8
Samsø,2014,72.5,70.9
Silkeborg,2014,76.7,74.7
Skanderborg,2014,79.9,78.2
Syddjurs,2014,74.9,72.1
Aarhus,2014,69.9,68.0
Herning,2014,75.9,74.0
Holstebro,2014,76.9,75.1
Ikast-Brande,2014,75.3,73.8
Lemvig,2014,75.7,74.7
Ringkøbing-Skjern,2014,77.1,75.2
Skive,2014,74.5,72.6
Struer,2014,72.8,71.0
Viborg,2014,75.4,73.4
Brønderslev,2014,73.7,72.0
Frederikshavn,2014,71.6,70.6
Hjørring,2014,72.7,71.1
Jammerbugt,2014,73.6,71.4
Læsø,2014,72.0,67.1
Mariagerfjord,2014,73.9,71.4
Morsø,2014,73.0,70.1
Rebild,2014,79.4,77.5
Thisted,2014,74.5,71.5
Vesthimmerlands,2014,73.9,71.7
Aalborg,2014,69.9,68.0
Copenhagen,2015,72.2,70.8
Frederiksberg,2015,75.6,74.0
Dragør,2015,80.4,78.6
Tårnby,2015,77.6,76.5
Albertslund,2015,70.2,68.7
Ballerup,2015,74.5,72.8
Brøndby,2015,69.4,68.0
Gentofte,2015,76.1,75.1
Gladsaxe,2015,75.3,74.1
Glostrup,2015,76.0,75.0
Herlev,2015,75.4,74.4
Hvidovre,2015,74.8,74.0
Høje-Taastrup,2015,73.5,72.0
Ishøj,2015,70.3,68.3
Lyngby-Taarbæk,2015,75.7,75.5
Rødovre,2015,75.1,74.3
Vallensbæk,2015,79.7,78.6
Allerød,2015,82.2,80.9
Egedal,2015,82.2,81.2
Fredensborg,2015,75.5,74.7
Frederikssund,2015,77.9,76.5
Furesø,2015,78.7,77.0
Gribskov,2015,76.7,75.6
